siteID,ipAddress
HARV,10.101.17.2
BART,10.101.33.2
SCBI,10.102.17.2
SERC,10.102.33.2
BLAN,10.102.49.2
OSBS,10.103.17.2
DSNY,10.103.33.2
JERC,10.103.49.2
GUAN,10.104.17.2
LAJA,10.104.33.2
UNDE,10.105.17.2
STEI,10.105.33.2
TREE,10.105.49.2
KONZ,10.106.17.2
UKFS,10.106.33.2
KONA,10.106.49.2
ORNL,10.107.17.2
MLBS,10.107.34.2
GRSM,10.107.49.2
TALL,10.108.17.2
LENO,10.108.33.2
DELA,10.108.49.2
WOOD,10.109.17.2
DCFS,10.109.33.2
NOGP,10.109.49.2
STER,10.110.17.2
CPER,10.110.50.2
RMNP,10.110.66.2
CLBJ,10.111.17.2
OAES,10.111.49.2
YELL,10.112.17.2
NIWO,10.113.17.2
MOAB,10.113.33.2
SRER,10.114.17.2
JORN,10.114.33.2
ONAQ,10.115.17.2
WREF,10.116.17.2
ABBY,10.116.49.2
SJER,10.117.17.2
SOAP,10.117.33.2
TEAK,10.117.49.2
TOOL,10.118.17.2
BARR,10.118.33.2
BONA,10.119.17.2
DEJU,10.119.33.2
HEAL,10.119.65.2
PUUM,10.120.17.2
