"TimeStamp","MacAddress","Eeprom","StreamNumber","Data","StartTime","EndTime","diffTime","siteID"
2020-02-04 17:59:51,"7c:e0:44:00:20:05","14284",1,38.7799987792969,2020-02-04 10:59:50,2020-02-04 10:59:53,2.15680551528931,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:20:00","14268",1,29.1599998474121,2020-02-04 10:59:50,2020-02-04 10:59:53,2.15643644332886,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1a:83","7c:e0:44:00:1a:83",8,12.1435995101929,2020-02-04 10:59:50,2020-02-04 10:59:53,2.12502408027649,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1b:75","43960",0,78.8000030517578,2020-02-04 10:59:50,2020-02-04 10:59:53,2.15214705467224,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1e:de","15090",0,40.7999992370605,2020-02-04 10:59:50,2020-02-04 10:59:53,2.15712428092957,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:19:c5","7c:e0:44:00:19:c5",24,0,2020-02-04 10:59:50,2020-02-04 10:59:53,2.12183547019958,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1a:fe","27936",9,6.42425280969712e-41,2020-02-04 10:59:50,2020-02-04 10:59:53,2.11917757987976,"SERC"
2020-02-04 17:59:50,"7c:e0:44:00:1d:56","12513",0,41.4000015258789,2020-02-04 10:59:50,2020-02-04 10:59:53,2.16652822494507,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1f:58","7c:e0:44:00:1f:58",24,0,2020-02-04 10:59:50,2020-02-04 10:59:53,2.11789870262146,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:18:a3","42777",0,420.000030517578,2020-02-04 10:59:50,2020-02-04 10:59:53,2.15727543830872,"SERC"
2020-02-04 17:59:50,"00:1c:94:04:3b:8c","00:1c:94:04:3b:8c",0,2.18253760610686e-33,2020-02-04 10:59:50,2020-02-04 10:59:53,2.20731496810913,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:19:b7","15052",0,41.2999992370605,2020-02-04 10:59:50,2020-02-04 10:59:53,2.13111567497253,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:20:00","7c:e0:44:00:20:00",8,24.3413524627686,2020-02-04 10:59:50,2020-02-04 10:59:53,2.10414004325867,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:1e:de","7c:e0:44:00:1e:de",8,24.2821216583252,2020-02-04 10:59:50,2020-02-04 10:59:53,2.10323286056519,"SERC"
2020-02-04 17:59:51,"7c:e0:44:00:15:66","27084",0,1.76199996471405,2020-02-04 10:59:50,2020-02-04 10:59:53,2.10653853416443,"SERC"
